,Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2021,,,,,,,,,NAICS_level_1,NAICS_level_2,NAICS_level_3,NAICS_level_4,NAICS_level_5,2017 NAICS Title,Jan. 2021,Feb. 2021(p),CY CUM,PY CUM
NOT ADJUSTED,447,Gasoline stations,"37,214","36,284","73,498","76,659",,,,11,112,1123,11231,112310,Chicken Egg Production ,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,448,Clothing and clothing access. stores,"15,740","16,592","32,332","36,105",,,,11,112,1123,11232,112320,Broilers and Other Meat Type Chicken Production ,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,4481,Clothing stores,"10,568","10,683","21,251","25,726",,,,11,112,1123,11233,112330,Turkey Production,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,44811,Men's clothing stores,349,353,702,"1,214",,,,11,112,1123,11234,112340,Poultry Hatcheries,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,44812,Women's clothing stores,"2,043","2,069","4,112","5,064",,,,11,112,1123,11239,112390,Other Poultry Production ,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,44814,Family clothing stores,"5,903","5,920","11,823","14,434",,,,11,112,1124,11241,112410,Sheep Farming,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,44819,Other clothing stores,"1,184","1,187","2,371","2,569",,,,11,112,1124,11242,112420,Goat Farming,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,4482,Shoe stores,"2,213","2,172","4,385","4,849",,,,11,112,1125,11251,112511,Finfish Farming and Fish Hatcheries ,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,44831,Jewelry stores,"2,640","3,405","6,045","4,892",,,,11,112,1125,11251,112512,Shellfish Farming ,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,451,"Sporting goods, hobby, musical instrument, and book stores","7,421","6,409","13,830","11,499",,,,11,112,1125,11251,112519,Other Aquaculture ,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,45111,Sporting goods stores,"4,150","3,819","7,969","6,091",,,,11,112,1129,11291,112910,Apiculture,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,45112,"Hobby, toy, and game stores","1,646","1,444","3,090","2,374",,,,11,112,1129,11292,112920,Horses and Other Equine Production,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,451211,Book stores,820,458,"1,278","1,583",,,,11,112,1129,11293,112930,Fur-Bearing Animal and Rabbit Production,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,452,General merchandise stores,"59,643","54,183","113,826","107,799",,,,11,112,1129,11299,112990,All Other Animal Production ,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,4521,Department stores,"8,327","7,881","16,208","17,546",,,,11,113,1131,11311,113110,Timber Tract Operations,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,452111,Department stores(excl. discount department stores),"1,273","1,495","2,768","4,619",,,,11,113,1132,11321,113210,Forest Nurseries and Gathering of Forest Products ,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,452112,Discount dept. stores,"7,054","6,386","13,440","12,927",,,,11,113,1133,11331,113310,Logging ,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,4529,Other general merchandise stores,"51,316",46302,97618,"90,253",,,,11,114,1141,11411,114111,Finfish Fishing ,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,45291,Warehouse clubs and superstores,"44,568","39,956","84,524","78,262",,,,11,114,1141,11411,114112,Shellfish Fishing ,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,45299,All other gen. merchandise stores,"6,748","6,346","13,094","11,991",,,,11,114,1141,11411,114119,Other Marine Fishing ,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,453,Miscellaneous store retailers,"11,175","10,508","21,683","20,696",,,,11,114,1142,11421,114210,Hunting and Trapping,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,4532,"Office supplies, stationery, and gift stores","1,756","1,652","3,408","3,990",,,,11,115,1151,11511,115111,Cotton Ginning ,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,45321,Office supplies and stationery stores,885,763,"1,648","1,779",,,,11,115,1151,11511,115112,"Soil Preparation, Planting, and Cultivating ",#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,45322,"Gift, novelty, and souvenir stores",871,889,"1,760","2,211",,,,11,115,1151,11511,115113,"Crop Harvesting, Primarily by Machine ",#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,45330,Used merchandise stores,"1,385","1,341","2,726","3,052",,,,11,115,1151,11511,115114,Postharvest Crop Activities (except Cotton Ginning) ,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,454,Nonstore retailers,"78,677","73,818","152,495","121,109",,,,11,115,1151,11511,115115,Farm Labor Contractors and Crew Leaders ,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,4541,Electronic shopping and mail-order houses,"69,830","64,683","134,513","104,201",,,,11,115,1151,11511,115116,Farm Management Services ,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,45431,Fuel dealers,"4,115","4,423","8,538","7,805",,,,11,115,1152,11521,115210,Support Activities for Animal Production,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,722,Food services and drinking places,"52,757","50,475","103,232","124,523",,,,11,115,1153,11531,115310,Support Activities for Forestry,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,7224,Drinking places,(S),(S),,,,,,21,211,2111,21112,211120,Crude Petroleum Extraction ,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,7225,Restaurants and other eating places,"49,022","46,299","95,321","109,042",,,,21,211,2111,21113,211130,Natural Gas Extraction ,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,722511,Full service restaurants,(S),(S),,,,,,21,212,2121,21211,212111,Bituminous Coal and Lignite Surface Mining ,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,722513,Limited service eating places,"28,457","25,819","54,276","54,175",,,,21,212,2121,21211,212112,Bituminous Coal Underground Mining ,#N/A,#N/A,#N/A,#N/A
,,ADJUSTED(2),,,,,,,,21,212,2121,21211,212113,Anthracite Mining ,#N/A,#N/A,#N/A,#N/A
,,"Retail and food services sales, total","576,466","559,893",,,,,,21,212,2122,21221,212210,Iron Ore Mining,#N/A,#N/A,#N/A,#N/A
,,Retail sales and food services excl motor vehicle and parts,"456,387","444,097",,,,,,21,212,2122,21222,212221,Gold Ore Mining ,#N/A,#N/A,#N/A,#N/A
,,Retail sales and food services excl gasoline stations,"535,571","517,604",,,,,,21,212,2122,21222,212222,Silver Ore Mining ,#N/A,#N/A,#N/A,#N/A
,,Retail sales and food services excl motor vehicle and parts and gasoline stations,"415,492","401,808",,,,,,21,212,2122,21223,212230,"Copper, Nickel, Lead, and Zinc Mining ",#N/A,#N/A,#N/A,#N/A
,,"Retail sales, total","520,162","504,548",,,,,,21,212,2122,21229,212291,Uranium-Radium-Vanadium Ore Mining ,#N/A,#N/A,#N/A,#N/A
,,"Retail sales, total (excl. motor vehicle and parts dealers)","400,083","388,752",,,,,,21,212,2122,21229,212299,All Other Metal Ore Mining ,#N/A,#N/A,#N/A,#N/A
,,GAFO(1),"118,584","111,870",,,,,,21,212,2123,21231,212311,Dimension Stone Mining and Quarrying ,#N/A,#N/A,#N/A,#N/A
ADJUSTED(2),441,Motor vehicle and parts dealers,"120,079","115,796",,,,,,21,212,2123,21231,212312,Crushed and Broken Limestone Mining and Quarrying ,#N/A,#N/A,#N/A,#N/A
ADJUSTED(2),"44,114,412",Automobile and other motor vehicle dealers,"111,475","107,347",,,,,,21,212,2123,21231,212313,Crushed and Broken Granite Mining and Quarrying ,#N/A,#N/A,#N/A,#N/A
ADJUSTED(2),4413,"Automotive parts, acc., and tire stores","8,604","8,449",,,,,,21,212,2123,21231,212319,Other Crushed and Broken Stone Mining and Quarrying ,#N/A,#N/A,#N/A,#N/A
ADJUSTED(2),"442,443","Furniture, home furn, electronics, and appliance stores","19,623","18,661",,,,,,21,212,2123,21232,212321,Construction Sand and Gravel Mining ,#N/A,#N/A,#N/A,#N/A
ADJUSTED(2),442,Furniture and home furnishings stores,"12,098","11,490",,,,,,21,212,2123,21232,212322,Industrial Sand Mining ,#N/A,#N/A,#N/A,#N/A
ADJUSTED(2),443,Electronics and appliance stores,"7,525","7,171",,,,,,21,212,2123,21232,212324,Kaolin and Ball Clay Mining ,#N/A,#N/A,#N/A,#N/A
ADJUSTED(2),444,Building mat. and garden equip. and supplies dealers,"39,996","38,002",,,,,,21,212,2123,21232,212325,Clay and Ceramic and Refractory Minerals Mining ,#N/A,#N/A,#N/A,#N/A
ADJUSTED(2),4441,Building mat. and supplies dealers,"34,710","32,753",,,,,,21,212,2123,21239,212391,"Potash, Soda, and Borate Mineral Mining ",#N/A,#N/A,#N/A,#N/A
ADJUSTED(2),445,Food and beverage stores,"72,730","72,406",,,,,,21,212,2123,21239,212392,Phosphate Rock Mining ,#N/A,#N/A,#N/A,#N/A
ADJUSTED(2),4451,Grocery stores,"64,656","64,353",,,,,,21,212,2123,21239,212393,Other Chemical and Fertilizer Mineral Mining ,#N/A,#N/A,#N/A,#N/A
ADJUSTED(2),4453,"Beer, wine and liquor stores","5,936","5,914",,,,,,21,212,2123,21239,212399,All Other Nonmetallic Mineral Mining ,#N/A,#N/A,#N/A,#N/A
ADJUSTED(2),446,Health and personal care stores,"30,204","29,930",,,,,,21,213,2131,21311,213111,Drilling Oil and Gas Wells,#N/A,#N/A,#N/A,#N/A
ADJUSTED(2),44611,Pharmacies and drug stores,"25,548","25,108",,,,,,21,213,2131,21311,213112,Support Activities for Oil and Gas Operations ,#N/A,#N/A,#N/A,#N/A
ADJUSTED(2),447,Gasoline stations,"40,895","42,289",,,,,,21,213,2131,21311,213113,Support Activities for Coal Mining ,#N/A,#N/A,#N/A,#N/A
ADJUSTED(2),448,Clothing and clothing access. stores,"21,351","20,234",,,,,,21,213,2131,21311,213114,Support Activities for Metal Mining ,#N/A,#N/A,#N/A,#N/A
ADJUSTED(2),4481,Clothing stores,"14,174","13,724",,,,,,21,213,2131,21311,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining ,#N/A,#N/A,#N/A,#N/A
ADJUSTED(2),44811,Men's clothing stores,435,449,,,,,,22,221,2211,22111,221111,Hydroelectric Power Generation ,#N/A,#N/A,#N/A,#N/A
ADJUSTED(2),44812,Women's clothing stores,"2,765","2,616",,,,,,22,221,2211,22111,221112,Fossil Fuel Electric Power Generation ,#N/A,#N/A,#N/A,#N/A
ADJUSTED(2),4482,Shoe stores,"3,069","2,511",,,,,,22,221,2211,22111,221113,Nuclear Electric Power Generation ,#N/A,#N/A,#N/A,#N/A
ADJUSTED(2),44831,Jewelry stores,"3,729","3,622",,,,,,22,221,2211,22111,221114,Solar Electric Power Generation ,#N/A,#N/A,#N/A,#N/A
ADJUSTED(2),451,"Sporting goods, hobby, musical instrument, and book stores","8,579","8,011",,,,,,22,221,2211,22111,221115,Wind Electric Power Generation ,#N/A,#N/A,#N/A,#N/A
ADJUSTED(2),452,General merchandise stores,"66,933","62,909",,,,,,22,221,2211,22111,221116,Geothermal Electric Power Generation ,#N/A,#N/A,#N/A,#N/A
ADJUSTED(2),4521,Department stores,"10,698","9,900",,,,,,22,221,2211,22111,221117,Biomass Electric Power Generation ,#N/A,#N/A,#N/A,#N/A
ADJUSTED(2),4529,Other general merchandise stores,"56,235","53,009",,,,,,22,221,2211,22111,221118,Other Electric Power Generation ,#N/A,#N/A,#N/A,#N/A
ADJUSTED(2),45291,Warehouse clubs and superstores,"48,443","45,664",,,,,,22,221,2211,22112,221121,Electric Bulk Power Transmission and Control ,#N/A,#N/A,#N/A,#N/A
ADJUSTED(2),45299,All other gen. merchandise stores,"7,792","7,345",,,,,,22,221,2211,22112,221122,Electric Power Distribution ,#N/A,#N/A,#N/A,#N/A
ADJUSTED(2),453,Miscellaneous stores retailers,"12,744","12,341",,,,,,22,221,2212,22121,221210,Natural Gas Distribution ,#N/A,#N/A,#N/A,#N/A
ADJUSTED(2),454,Nonstore retailers,"87,028","83,969",,,,,,22,221,2213,22131,221310,Water Supply and Irrigation Systems ,#N/A,#N/A,#N/A,#N/A
ADJUSTED(2),4541,Electronic shopping and mail order houses,"78,993","75,564",,,,,,22,221,2213,22132,221320,Sewage Treatment Facilities ,#N/A,#N/A,#N/A,#N/A
ADJUSTED(2),45431,Fuel dealers,"2,676","3,146",,,,,,22,221,2213,22133,221330,Steam and Air-Conditioning Supply ,#N/A,#N/A,#N/A,#N/A
ADJUSTED(2),722,Food services and drinking places,"56,304","55,345",,,,,,23,236,2361,23611,236115,New Single-Family Housing Construction (except For-Sale Builders) ,#N/A,#N/A,#N/A,#N/A
, ,,,,,,,,,23,236,2361,23611,236116,New Multifamily Housing Construction (except For-Sale Builders) ,#N/A,#N/A,#N/A,#N/A
,(p) Preliminary estimate,,,,,,,,,23,236,2361,23611,236117,New Housing For-Sale Builders ,#N/A,#N/A,#N/A,#N/A
,"(S) Suppressed - Estimate does not meet publication standards because of high sampling variability (coefficient of variation is greater than 30%), poor response quality (total quantity response rate",,,,,,,,,23,236,2361,23611,236118,Residential Remodelers ,#N/A,#N/A,#N/A,#N/A
,"is less than 50%), or other concerns about the estimate's quality.",,,,,,,,,23,236,2362,23621,236210,Industrial Building Construction ,#N/A,#N/A,#N/A,#N/A
, ,,,,,,,,,23,236,2362,23622,236220,Commercial and Institutional Building Construction ,#N/A,#N/A,#N/A,#N/A
,"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,23,237,2371,23711,237110,Water and Sewer Line and Related Structures Construction ,#N/A,#N/A,#N/A,#N/A
,"(2) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,23,237,2371,23712,237120,Oil and Gas Pipeline and Related Structures Construction ,#N/A,#N/A,#N/A,#N/A
, ,,,,,,,,,23,237,2371,23713,237130,Power and Communication Line and Related Structures Construction ,#N/A,#N/A,#N/A,#N/A
,Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown.,,,,,,,,,23,237,2372,23721,237210,Land Subdivision ,#N/A,#N/A,#N/A,#N/A
,"For surveyed Retail companies, approximately 50.7% provided data for this reporting period, resulting in a total quantity response rate of 59.4% for sales.",,,,,,,,,23,237,2373,23731,237310,"Highway, Street, and Bridge Construction ",#N/A,#N/A,#N/A,#N/A
,"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html.",,,,,,,,,23,237,2379,23799,237990,Other Heavy and Civil Engineering Construction ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,23,238,2381,23811,238110,Poured Concrete Foundation and Structure Contractors ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,23,238,2381,23812,238120,Structural Steel and Precast Concrete Contractors ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,23,238,2381,23813,238130,Framing Contractors ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,23,238,2381,23814,238140,Masonry Contractors ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,23,238,2381,23815,238150,Glass and Glazing Contractors ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,23,238,2381,23816,238160,Roofing Contractors ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,23,238,2381,23817,238170,Siding Contractors ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,23,238,2381,23819,238190,"Other Foundation, Structure, and Building Exterior Contractors ",#N/A,#N/A,#N/A,#N/A
