,Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2021,,,,,,,,,NAICS_level_1,NAICS_level_2,NAICS_level_3,NAICS_level_4,NAICS_level_5,2017 NAICS Title,Jan. 2021,Feb. 2021(p),CY CUM,PY CUM
,,,,,,,,,,31,311,3119,31191,311911,Roasted Nuts and Peanut Butter Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3119,31191,311919,Other Snack Food Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3119,31192,311920,Coffee and Tea Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3119,31193,311930,Flavoring Syrup and Concentrate Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3119,31194,311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3119,31194,311942,Spice and Extract Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3119,31199,311991,Perishable Prepared Food Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3119,31199,311999,All Other Miscellaneous Food Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,312,3121,31211,312111,Soft Drink Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,312,3121,31211,312112,Bottled Water Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,312,3121,31211,312113,Ice Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,312,3121,31212,312120,Breweries,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,312,3121,31213,312130,Wineries ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,312,3121,31214,312140,Distilleries ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,312,3122,31223,312230,Tobacco Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,313,3131,31311,313110,"Fiber, Yarn, and Thread Mills ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,313,3132,31321,313210,Broadwoven Fabric Mills,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,313,3132,31322,313220,Narrow Fabric Mills and Schiffli Machine Embroidery,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,313,3132,31323,313230,Nonwoven Fabric Mills,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,313,3132,31324,313240,Knit Fabric Mills,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,313,3133,31331,313310,Textile and Fabric Finishing Mills ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,313,3133,31332,313320,Fabric Coating Mills,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,314,3141,31411,314110,Carpet and Rug Mills,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,314,3141,31412,314120,Curtain and Linen Mills,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,314,3149,31491,314910,Textile Bag and Canvas Mills ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,314,3149,31499,314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,314,3149,31499,314999,All Other Miscellaneous Textile Product Mills ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,315,3151,31511,315110,Hosiery and Sock Mills,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,315,3151,31519,315190,Other Apparel Knitting Mills ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,315,3152,31521,315210,Cut and Sew Apparel Contractors ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,315,3152,31522,315220,Men’s and Boys’ Cut and Sew Apparel Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,315,3152,31524,315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,315,3152,31528,315280,Other Cut and Sew Apparel Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,315,3159,31599,315990,Apparel Accessories and Other Apparel Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,316,3161,31611,316110,Leather and Hide Tanning and Finishing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,316,3162,31621,316210,Footwear Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,316,3169,31699,316992,Women's Handbag and Purse Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,316,3169,31699,316998,All Other Leather Good and Allied Product Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,321,3211,32111,321113,Sawmills ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,321,3211,32111,321114,Wood Preservation ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,321,3212,32121,321211,Hardwood Veneer and Plywood Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,321,3212,32121,321212,Softwood Veneer and Plywood Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,321,3212,32121,321213,Engineered Wood Member (except Truss) Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,321,3212,32121,321214,Truss Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,321,3212,32121,321219,Reconstituted Wood Product Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,321,3219,32191,321911,Wood Window and Door Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,321,3219,32191,321912,"Cut Stock, Resawing Lumber, and Planing ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,321,3219,32191,321918,Other Millwork (including Flooring) ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,321,3219,32192,321920,Wood Container and Pallet Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,321,3219,32199,321991,Manufactured Home (Mobile Home) Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,321,3219,32199,321992,Prefabricated Wood Building Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,321,3219,32199,321999,All Other Miscellaneous Wood Product Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,322,3221,32211,322110,Pulp Mills ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,322,3221,32212,322121,Paper (except Newsprint) Mills ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,322,3221,32212,322122,Newsprint Mills ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,322,3221,32213,322130,Paperboard Mills ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,322,3222,32221,322211,Corrugated and Solid Fiber Box Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,322,3222,32221,322212,Folding Paperboard Box Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,322,3222,32221,322219,Other Paperboard Container Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,322,3222,32222,322220,Paper Bag and Coated and Treated Paper Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,322,3222,32223,322230,Stationery Product Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,322,3222,32229,322291,Sanitary Paper Product Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,322,3222,32229,322299,All Other Converted Paper Product Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,323,3231,32311,323111,Commercial Printing (except Screen and Books) ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,323,3231,32311,323113,Commercial Screen Printing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,323,3231,32311,323117,Books Printing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,323,3231,32312,323120,Support Activities for Printing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,324,3241,32411,324110,Petroleum Refineries,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,324,3241,32412,324121,Asphalt Paving Mixture and Block Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,324,3241,32412,324122,Asphalt Shingle and Coating Materials Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,324,3241,32419,324191,Petroleum Lubricating Oil and Grease Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,324,3241,32419,324199,All Other Petroleum and Coal Products Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,325,3251,32511,325110,Petrochemical Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,325,3251,32512,325120,Industrial Gas Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,325,3251,32513,325130,Synthetic Dye and Pigment Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,325,3251,32518,325180,Other Basic Inorganic Chemical Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,325,3251,32519,325193,Ethyl Alcohol Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,325,3251,32519,325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,325,3251,32519,325199,All Other Basic Organic Chemical Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,325,3252,32521,325211,Plastics Material and Resin Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,325,3252,32521,325212,Synthetic Rubber Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,325,3252,32522,325220,Artificial and Synthetic Fibers and Filaments Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,325,3253,32531,325311,Nitrogenous Fertilizer Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,325,3253,32531,325312,Phosphatic Fertilizer Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,325,3253,32531,325314,Fertilizer (Mixing Only) Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,325,3253,32532,325320,Pesticide and Other Agricultural Chemical Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,325,3254,32541,325411,Medicinal and Botanical Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,325,3254,32541,325412,Pharmaceutical Preparation Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,325,3254,32541,325413,In-Vitro Diagnostic Substance Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,325,3254,32541,325414,Biological Product (except Diagnostic) Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,325,3255,32551,325510,Paint and Coating Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,325,3255,32552,325520,Adhesive Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,325,3256,32561,325611,Soap and Other Detergent Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,325,3256,32561,325612,Polish and Other Sanitation Good Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,325,3256,32561,325613,Surface Active Agent Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,325,3256,32562,325620,Toilet Preparation Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,325,3259,32591,325910,Printing Ink Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,325,3259,32592,325920,Explosives Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,325,3259,32599,325991,Custom Compounding of Purchased Resins ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,325,3259,32599,325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,325,3259,32599,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,326,3261,32611,326111,Plastics Bag and Pouch Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,326,3261,32611,326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,326,3261,32611,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,326,3261,32612,326121,Unlaminated Plastics Profile Shape Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,326,3261,32612,326122,Plastics Pipe and Pipe Fitting Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,326,3261,32613,326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,326,3261,32614,326140,Polystyrene Foam Product Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,326,3261,32615,326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,326,3261,32616,326160,Plastics Bottle Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,326,3261,32619,326191,Plastics Plumbing Fixture Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,326,3261,32619,326199,All Other Plastics Product Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,326,3262,32621,326211,Tire Manufacturing (except Retreading) ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,326,3262,32621,326212,Tire Retreading ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,326,3262,32622,326220,Rubber and Plastics Hoses and Belting Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,326,3262,32629,326291,Rubber Product Manufacturing for Mechanical Use ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,326,3262,32629,326299,All Other Rubber Product Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,327,3271,32711,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,327,3271,32712,327120,Clay Building Material and Refractories Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,327,3272,32721,327211,Flat Glass Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,327,3272,32721,327212,Other Pressed and Blown Glass and Glassware Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,327,3272,32721,327213,Glass Container Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,327,3272,32721,327215,Glass Product Manufacturing Made of Purchased Glass ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,327,3273,32731,327310,Cement Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,327,3273,32732,327320,Ready-Mix Concrete Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,327,3273,32733,327331,Concrete Block and Brick Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,327,3273,32733,327332,Concrete Pipe Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,327,3273,32739,327390,Other Concrete Product Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,327,3274,32741,327410,Lime Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,327,3274,32742,327420,Gypsum Product Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,327,3279,32791,327910,Abrasive Product Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,327,3279,32799,327991,Cut Stone and Stone Product Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,327,3279,32799,327992,Ground or Treated Mineral and Earth Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,327,3279,32799,327993,Mineral Wool Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,32,327,3279,32799,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,331,3311,33111,331110,Iron and Steel Mills and Ferroalloy Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,331,3312,33121,331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,331,3312,33122,331221,Rolled Steel Shape Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,331,3312,33122,331222,Steel Wire Drawing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,331,3313,33131,331313,Alumina Refining and Primary Aluminum Production ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,331,3313,33131,331314,Secondary Smelting and Alloying of Aluminum ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,331,3313,33131,331315,"Aluminum Sheet, Plate, and Foil Manufacturing ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,331,3313,33131,331318,"Other Aluminum Rolling, Drawing, and Extruding ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,331,3314,33141,331410,Nonferrous Metal (except Aluminum) Smelting and Refining ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,331,3314,33142,331420,"Copper Rolling, Drawing, Extruding, and Alloying",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,331,3314,33149,331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,331,3314,33149,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,331,3315,33151,331511,Iron Foundries ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,331,3315,33151,331512,Steel Investment Foundries ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,331,3315,33151,331513,Steel Foundries (except Investment) ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,331,3315,33152,331523,Nonferrous Metal Die-Casting Foundries ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,331,3315,33152,331524,Aluminum Foundries (except Die-Casting) ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,331,3315,33152,331529,Other Nonferrous Metal Foundries (except Die-Casting) ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3321,33211,332111,Iron and Steel Forging ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3321,33211,332112,Nonferrous Forging ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3321,33211,332114,Custom Roll Forming ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3321,33211,332117,Powder Metallurgy Part Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3321,33211,332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive) ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3322,33221,332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3322,33221,332216,Saw Blade and Handtool Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3323,33231,332311,Prefabricated Metal Building and Component Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3323,33231,332312,Fabricated Structural Metal Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3323,33231,332313,Plate Work Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3323,33232,332321,Metal Window and Door Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3323,33232,332322,Sheet Metal Work Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3323,33232,332323,Ornamental and Architectural Metal Work Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3324,33241,332410,Power Boiler and Heat Exchanger Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3324,33242,332420,Metal Tank (Heavy Gauge) Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3324,33243,332431,Metal Can Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3324,33243,332439,Other Metal Container Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3325,33251,332510,Hardware Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3326,33261,332613,Spring Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3326,33261,332618,Other Fabricated Wire Product Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3327,33271,332710,Machine Shops,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3327,33272,332721,Precision Turned Product Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3327,33272,332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3328,33281,332811,Metal Heat Treating ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3328,33281,332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3328,33281,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3329,33291,332911,Industrial Valve Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3329,33291,332912,Fluid Power Valve and Hose Fitting Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3329,33291,332913,Plumbing Fixture Fitting and Trim Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3329,33291,332919,Other Metal Valve and Pipe Fitting Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3329,33299,332991,Ball and Roller Bearing Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3329,33299,332992,Small Arms Ammunition Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3329,33299,332993,Ammunition (except Small Arms) Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3329,33299,332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3329,33299,332996,Fabricated Pipe and Pipe Fitting Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,332,3329,33299,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3331,33311,333111,Farm Machinery and Equipment Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3331,33311,333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3331,33312,333120,Construction Machinery Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3331,33313,333131,Mining Machinery and Equipment Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3331,33313,333132,Oil and Gas Field Machinery and Equipment Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3332,33324,333241,Food Product Machinery Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3332,33324,333242,Semiconductor Machinery Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3332,33324,333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3332,33324,333244,Printing Machinery and Equipment Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3332,33324,333249,Other Industrial Machinery Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3333,33331,333314,Optical Instrument and Lens Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3333,33331,333316,Photographic and Photocopying Equipment Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3333,33331,333318,Other Commercial and Service Industry Machinery Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3334,33341,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3334,33341,333414,Heating Equipment (except Warm Air Furnaces) Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3334,33341,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3335,33351,333511,Industrial Mold Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3335,33351,333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3335,33351,333515,Cutting Tool and Machine Tool Accessory Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3335,33351,333517,Machine Tool Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3335,33351,333519,Rolling Mill and Other Metalworking Machinery Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3336,33361,333611,Turbine and Turbine Generator Set Units Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3336,33361,333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3336,33361,333613,Mechanical Power Transmission Equipment Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3336,33361,333618,Other Engine Equipment Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3339,33391,333912,Air and Gas Compressor Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3339,33391,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3339,33392,333921,Elevator and Moving Stairway Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3339,33392,333922,Conveyor and Conveying Equipment Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3339,33392,333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3339,33392,333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing ",#N/A,#N/A,#N/A,#N/A
